SYMBOL,SIGNAL_DATE,SIGNAL_CLOSE,PREV_CLOSE,ATH_PRICE,MIN_5D_LOW,PCT_FROM_LOW,PCT_FROM_ATH,PCT_1D_CHANGE,CONFIGS_MATCHED,CONFIG_COUNT
RAMAPHO,2026-05-19,119.02,130.2,247.0,126.02,-5.55,-51.81,-8.59,"C1,C2,C3",3
VIRINCHI,2026-05-19,16.42,19.16,32.82,17.65,-6.97,-49.97,-14.3,"C1,C2,C3",3
MAGNUM,2026-05-19,19.71,21.52,43.98,21.27,-7.33,-55.18,-8.41,"C1,C3",2
PNGJL,2026-05-19,521.3,545.25,830.0,545.25,-4.39,-37.19,-4.39,C3,1
SECURKLOUD,2026-05-19,21.65,24.71,36.0,23.66,-8.5,-39.86,-12.38,C3,1
TARMAT,2026-05-19,51.14,67.29,92.59,55.39,-7.67,-44.77,-24.0,C3,1
TVSSCS,2026-05-19,111.99,117.3,196.9,116.72,-4.05,-43.12,-4.53,C3,1
