SYMBOL,SIGNAL_DATE,SIGNAL_CLOSE,PREV_CLOSE,ATH_PRICE,MIN_5D_LOW,PCT_FROM_LOW,PCT_FROM_ATH,PCT_1D_CHANGE,CHG_5D,CONFIGS_MATCHED,CONFIG_COUNT
BBL,2026-08-04,2390.2,2564.5,3913.85,2535.0,-5.71,-38.93,-6.8,-14.41,"C3,C10,C20,C21,C23,C25,C26,C28,C29,C30,C33,C42,C43,C44,C46,C47,C49,C50,C51,C54,C62,C63,C64,C65,C66,C67,C69,C70,C71,C72,C75,C80,C81,C82,C83,C84,C85,C87,C88,C89,C90,C93,C98,C105,C120,C121,C123,C124,C126,C127,C129,C130,C131,C133,C135,C136,C138,C139,C141,C142,C144,C146,C148,C150,C151,C153,C154,C156,C157,C159,C160,C162,C163,C164,C165,C167,C168,C170,C171,C173,C174,C176,C177,C179,C180,C182,C184,C185,C187,C189,C190,C191,C192,C194,C195,C196,C197,C198,C200,C202,C203,C204,C205,C207,C208,C209,C210,C211,C212,C213,C214,C216,C217,C218,C220,C221,C222,C223,C224,C225,C226,C227,C228,C230,C232,C233,C235,C236,C239,C240,C243,C244,C247,C248,C249,C250,C251,C254,C255,C258,C260,C263,C266,C269,C271,C272,C282,C283,C286,C287,C290,C291,C292,C293,C294,C297,C298,C301,C302,C305,C307,C310,C313,C316,C317,C326,C327,C330,C331,C334,C335,C336,C337,C340,C341,C344,C345,C348,C350,C353,C356,C359,C361,C362,C372,C373,C374,C377,C379,C380,C381,C382,C383,C384,C385,C388,C389,C390,C393,C394,C397,C398,C400,C401,C404,C407,C410,C412,C413,C422,C423,C424,C427,C428,C429,C432,C433,C434,C435,C436,C437,C438,C441,C442,C443,C446,C447,C450,C452,C453,C456,C459,C461,C462,C471,C472,C475,C476,C479,C480,C482,C485,C486,C489,C490,C493,C495,C498,C501,C504,C505,C506,C513,C514,C517,C518,C521,C522,C524,C527,C528,C531,C534,C536,C539,C542,C545,C546,C547,C554,C555,C556,C559,C560,C561,C564,C565,C566,C567,C570,C571,C572,C573,C575,C578,C581,C584,C585,C586,C594,C595,C596,C599,C600,C601,C604,C605,C606,C607,C608,C609,C610,C611,C614,C615,C616,C619,C620,C623,C625,C626,C629,C632,C635,C636,C642,C643,C644,C646,C647,C648,C651,C652,C653,C655,C656,C657,C658,C659,C660,C663,C664,C665,C668,C669,C670,C673,C675,C676,C679,C682,C685,C686,C687,C958,C1154,C1157,C1158,C1160,C1161,C1162,C1163,C1164,C1165,C1166,C1167,C1168,C1169,C1170,C1171,C1172,C1173,C1174,C1175,C1176,C1178,C1179,C1180,C1181,C1182,C1183,C1184,C1185,C1186,C1188,C1191,C1194,C1196,C1198,C1199,C1207,C1210,C1214,C1245,C1247,C1248,C1249,C1250,C1251,C1252,C1253,C1254,C1256,C1257,C1258,C1261,C1262,C1263,C1266,C1267,C1268,C1270,C1271,C1274,C1275,C1278,C1279,C1282,C1284,C1289,C1292,C1294,C1296,C1297,C1298,C1299,C1301,C1302,C1304,C1305,C1308,C1309,C1310,C1313,C1314,C1315,C1317,C1318,C1319,C1322,C1323,C1326,C1327,C1330,C1332,C1335,C1338,C1341,C1343,C1345,C1346,C1347,C1348,C1349,C1351,C1352,C1354,C1355,C1358,C1359,C1360,C1363,C1364,C1365,C1367,C1368,C1369,C1372,C1373,C1376,C1377,C1380,C1382,C1387,C1390,C1392,C1394,C1395,C1396,C1397,C1399,C1402,C1403,C1404,C1406,C1407,C1410,C1411,C1412,C1415,C1416,C1417,C1419,C1420,C1421,C1422,C1425,C1426,C1429,C1430,C1433,C1435,C1440,C1445,C1448,C1451,C1452,C1453,C1454,C1456,C1459,C1460,C1461,C1462,C1464,C1465,C1466,C1469,C1470,C1471,C1474,C1475,C1476,C1478,C1479,C1480,C1481,C1482,C1485,C1486,C1489,C1490,C1493,C1502,C1504,C1506,C1508,C1510,C1512,C1513,C1514,C1516,C1517,C1519,C1520,C1522,C1523,C1524,C1525,C1526,C1529,C1530,C1531,C1534,C1535,C1536,C1539,C1540,C1542,C1545,C1546,C1549,C1550,C1553,C1555,C1557,C1559,C1561,C1563,C1565,C1566,C1567,C1569,C1570,C1573,C1574,C1576,C1577,C1578,C1579,C1580,C1583,C1584,C1585,C1588,C1589,C1590,C1593,C1594,C1596,C1599,C1600,C1603,C1604,C1607,C1609,C1610,C1611,C1614,C1615,C1616,C1619,C1620,C1621,C1623,C1624,C1625,C1626,C1629,C1630,C1631,C1634,C1635,C1636,C1639,C1640,C1641,C1643,C1644,C1645,C1646,C1649,C1650,C1651,C1654,C1655,C1656,C1659,C1660,C1661,C1663,C1664,C1665,C1666,C1667,C1668,C1671,C1672,C1673,C1676,C1677,C1678,C1681,C1682,C1683,C1685,C1688,C1689,C1692,C1693,C1696,C1699,C1700,C1701,C1704,C1705,C1706,C1709,C1710,C1711,C1713,C1714,C1715,C1716,C1717,C1718,C1721,C1722,C1723,C1726,C1727,C1728,C1731,C1732,C1733,C1735,C1736,C1737,C1738,C1739,C1742,C1743,C1744,C1747,C1748,C1749,C1752,C1753,C1754,C1756,C1757,C1758,C1759,C1760,C1761,C1764,C1765,C1766,C1769,C1770,C1771,C1774,C1775,C1776,C1778,C1781,C1782,C1785,C1786,C1789,C1792,C1793,C1794,C1797,C1798,C1799,C1802,C1803,C1804,C1806,C1807,C1808,C1809,C1810,C1811,C1814,C1815,C1816,C1819,C1820,C1821,C1824,C1825,C1826,C1828,C1829,C1830,C1831,C1832,C1833,C1836,C1837,C1838,C1841,C1842,C1843,C1846,C1847,C1848,C1850,C1851,C1852,C1853,C1854,C1855,C1858,C1859,C1860,C1863,C1864,C1865,C1868,C1869,C1870,C1872,C1875,C1878,C1879,C1882,C1883,C1884,C1885,C1886,C1887,C1888,C1889,C1890,C1891,C1892,C1893,C1894,C1895,C1896,C1897,C1898,C1899,C1900,C1901,C1902,C1903,C1904,C1905,C1906,C1907,C1908,C1909,C1910,C1911,C1912,C1915,C1916,C1919,C1920,C1923,C1924",795
SOLARWORLD,2026-08-04,169.72,184.62,388.5,184.01,-7.77,-56.31,-8.07,-8.87,"C1,C2,C3,C8,C9,C10,C14,C18,C19,C20,C21,C31,C32,C33,C36,C40,C41,C42,C43,C52,C53,C54,C56,C98,C119,C120,C121,C132,C133,C143,C144,C152,C153,C154,C166,C167,C168,C178,C179,C186,C187,C235,C237,C238,C239,C240,C251,C261,C262,C263,C273,C274,C280,C281,C282,C283,C295,C296,C297,C298,C308,C309,C310,C318,C319,C324,C325,C326,C327,C338,C339,C340,C341,C351,C352,C353,C363,C364,C370,C371,C372,C373,C374,C386,C387,C388,C389,C390,C402,C403,C404,C414,C415,C469,C470,C471,C472,C483,C484,C485,C486,C496,C497,C498,C507,C508,C511,C512,C513,C514,C525,C526,C527,C528,C537,C538,C539,C548,C549,C552,C553,C554,C555,C556,C568,C569,C570,C571,C576,C577,C578,C587,C588,C592,C593,C594,C595,C596,C612,C613,C614,C615,C616,C627,C628,C629,C637,C692,C693,C694,C695,C706,C707,C708,C709,C720,C721,C722,C730,C731,C736,C737,C738,C739,C749,C750,C751,C752,C762,C763,C764,C767,C768,C772,C773,C774,C775,C776,C789,C790,C791,C792,C793,C804,C805,C806,C814,C815,C820,C835,C836,C837,C838,C839,C851,C852,C853,C860,C861,C914,C915,C916,C917,C918,C930,C931,C932,C933,C934,C945,C946,C947,C956,C957,C958,C962,C963,C964,C965,C966,C978,C979,C980,C981,C982,C993,C994,C995,C1004,C1005,C1010,C1011,C1012,C1013,C1014,C1028,C1038,C1039,C1040,C1049,C1050,C1055,C1056,C1057,C1058,C1059,C1076,C1077,C1078,C1079,C1080,C1094,C1095,C1096,C1103,C1104,C1159,C1160,C1163,C1164,C1167,C1192,C1193,C1194,C1207,C1223,C1224,C1225,C1226,C1237,C1238,C1239,C1240,C1245,C1250,C1255,C1256,C1257,C1258,C1272,C1273,C1274,C1275,C1285,C1286,C1292,C1298,C1303,C1304,C1305,C1320,C1321,C1322,C1323,C1333,C1334,C1335,C1341,C1348,C1353,C1354,C1355,C1370,C1371,C1372,C1373,C1383,C1384,C1501,C1502,C1507,C1508,C1515,C1516,C1517,C1527,C1528,C1529,C1530,C1531,C1543,C1544,C1545,C1546,C1554,C1555,C1560,C1561,C1568,C1569,C1570,C1581,C1582,C1583,C1584,C1585,C1597,C1598,C1599,C1600,C1608,C1609,C1610,C1611,C1627,C1628,C1629,C1630,C1631,C1647,C1648,C1649,C1650,C1651,C1669,C1670,C1671,C1672,C1673,C1686,C1687,C1688,C1689,C1697,C1698,C1699,C1700,C1701,C1719,C1720,C1721,C1722,C1723,C1740,C1741,C1742,C1743,C1744,C1762,C1763,C1764,C1765,C1766,C1779,C1780,C1781,C1782,C1883,C1886,C1893,C1894,C1902,C1903,C1904,C1913,C1914,C1915,C1916",398
KALPATARU,2026-08-04,285.15,300.7,457.4,297.0,-3.99,-37.66,-5.17,-11.07,"C144,C146,C148,C150,C151,C179,C180,C182,C184,C185,C198,C211,C212,C213,C224,C235,C236,C263,C266,C269,C271,C272,C310,C313,C316,C317,C353,C356,C359,C361,C362,C404,C407,C410,C412,C413,C456,C459,C461,C462,C498,C501,C504,C505,C506,C539,C542,C545,C546,C547,C578,C581,C584,C585,C586,C629,C632,C635,C636,C679,C682,C685,C686,C687,C722,C725,C727,C728,C729,C764,C765,C766,C806,C809,C811,C812,C813,C853,C856,C857,C858,C859,C902,C905,C906,C907,C908,C947,C950,C953,C954,C955,C958,C995,C998,C1001,C1002,C1003,C1040,C1043,C1046,C1047,C1048,C1096,C1099,C1102,C1141,C1144,C1147,C1149,C1150,C1154,C1157,C1158,C1164,C1165,C1179,C1186,C1196,C1214,C1219,C1221,C1243,C1244,C1256,C1257,C1258,C1261,C1262,C1263,C1266,C1267,C1268,C1270,C1271,C1274,C1275,C1278,C1279,C1282,C1284,C1289,C1304,C1305,C1308,C1309,C1310,C1313,C1314,C1315,C1317,C1318,C1319,C1322,C1323,C1326,C1327,C1330,C1332,C1335,C1338,C1354,C1355,C1358,C1359,C1360,C1363,C1364,C1365,C1367,C1368,C1369,C1372,C1373,C1376,C1377,C1380,C1382,C1387,C1406,C1407,C1410,C1411,C1412,C1415,C1416,C1417,C1419,C1420,C1421,C1422,C1425,C1426,C1429,C1430,C1433,C1435,C1440,C1464,C1465,C1466,C1469,C1470,C1471,C1474,C1475,C1476,C1478,C1479,C1480,C1481,C1482,C1485,C1486,C1489,C1490,C1493,C1516,C1517,C1519,C1520,C1522,C1523,C1524,C1525,C1526,C1529,C1530,C1531,C1534,C1535,C1536,C1539,C1540,C1542,C1545,C1546,C1549,C1550,C1553,C1569,C1570,C1573,C1574,C1576,C1577,C1578,C1579,C1580,C1583,C1584,C1585,C1588,C1589,C1590,C1593,C1594,C1596,C1599,C1600,C1603,C1604,C1607,C1649,C1650,C1651,C1654,C1655,C1656,C1659,C1660,C1661,C1663,C1664,C1665,C1666,C1667,C1668,C1671,C1672,C1673,C1676,C1677,C1678,C1681,C1682,C1683,C1685,C1688,C1689,C1692,C1693,C1696,C1742,C1743,C1744,C1747,C1748,C1749,C1752,C1753,C1754,C1756,C1757,C1758,C1759,C1760,C1761,C1764,C1765,C1766,C1769,C1770,C1771,C1774,C1775,C1776,C1778,C1781,C1782,C1785,C1786,C1789,C1836,C1837,C1838,C1841,C1842,C1843,C1846,C1847,C1848,C1850,C1851,C1852,C1853,C1854,C1855,C1858,C1859,C1860,C1863,C1864,C1865,C1868,C1869,C1870,C1872,C1875,C1878,C1879,C1882,C1893,C1894,C1895,C1896,C1897,C1898,C1899,C1900,C1901,C1902,C1903,C1904,C1905,C1906,C1907,C1908,C1909,C1910,C1911,C1912,C1915,C1916,C1919,C1920,C1923,C1924",378
SHREERAMA,2026-08-04,38.29,40.36,71.99,39.29,-2.55,-46.81,-5.13,-9.27,"C273,C274,C275,C276,C277,C278,C318,C319,C320,C321,C322,C323,C363,C364,C365,C366,C367,C368,C414,C415,C416,C417,C418,C419,C463,C464,C465,C466,C467,C468,C507,C508,C509,C510,C548,C549,C550,C551,C587,C588,C589,C590,C591,C637,C638,C639,C688,C689,C690,C691,C730,C731,C732,C733,C734,C767,C768,C769,C770,C771,C814,C815,C816,C817,C818,C860,C861,C862,C863,C864,C909,C910,C911,C912,C913,C956,C957,C958,C959,C960,C1004,C1005,C1006,C1007,C1008,C1049,C1050,C1051,C1052,C1053,C1103,C1104,C1105,C1106,C1107,C1151,C1152,C1153,C1154,C1155,C1159,C1204,C1236,C1272,C1273,C1274,C1275,C1276,C1277,C1278,C1279,C1280,C1281,C1282,C1285,C1286,C1287,C1288,C1289,C1290,C1291,C1320,C1321,C1322,C1323,C1324,C1325,C1326,C1327,C1328,C1329,C1330,C1333,C1334,C1335,C1336,C1337,C1338,C1339,C1340,C1370,C1371,C1372,C1373,C1374,C1375,C1376,C1377,C1378,C1379,C1380,C1383,C1384,C1385,C1386,C1387,C1388,C1389,C1423,C1424,C1425,C1426,C1427,C1428,C1429,C1430,C1431,C1432,C1433,C1436,C1437,C1438,C1439,C1440,C1441,C1442,C1483,C1484,C1485,C1486,C1487,C1488,C1489,C1490,C1491,C1492,C1493,C1495,C1496,C1497,C1498,C1499,C1500,C1527,C1528,C1529,C1530,C1531,C1532,C1533,C1534,C1535,C1536,C1537,C1538,C1539,C1540,C1543,C1544,C1545,C1546,C1547,C1548,C1549,C1550,C1551,C1552,C1553,C1581,C1582,C1583,C1584,C1585,C1586,C1587,C1588,C1589,C1590,C1591,C1592,C1593,C1594,C1597,C1598,C1599,C1600,C1601,C1602,C1603,C1604,C1605,C1606,C1607,C1669,C1670,C1671,C1672,C1673,C1674,C1675,C1676,C1677,C1678,C1679,C1680,C1681,C1682,C1683,C1686,C1687,C1688,C1689,C1690,C1691,C1692,C1693,C1694,C1695,C1696,C1762,C1763,C1764,C1765,C1766,C1767,C1768,C1769,C1770,C1771,C1772,C1773,C1774,C1775,C1776,C1779,C1780,C1781,C1782,C1783,C1784,C1785,C1786,C1787,C1788,C1789,C1856,C1857,C1858,C1859,C1860,C1861,C1862,C1863,C1864,C1865,C1866,C1867,C1868,C1869,C1870,C1873,C1874,C1875,C1876,C1877,C1878,C1879,C1880,C1881,C1882,C1902,C1903,C1904,C1905,C1906,C1907,C1908,C1909,C1910,C1913,C1914,C1915,C1916,C1917,C1918,C1919,C1920,C1921,C1922,C1923,C1924",341
JARO,2026-08-04,457.35,472.55,890.0,469.75,-2.64,-48.61,-3.22,-18.08,"C273,C274,C275,C276,C277,C278,C318,C319,C320,C321,C322,C323,C363,C364,C365,C366,C367,C368,C414,C415,C416,C417,C418,C419,C463,C464,C465,C466,C467,C468,C507,C508,C509,C510,C548,C549,C550,C551,C587,C588,C589,C590,C591,C637,C638,C639,C688,C689,C690,C691,C730,C731,C732,C733,C734,C767,C768,C769,C770,C771,C814,C815,C816,C817,C818,C860,C861,C862,C863,C864,C909,C910,C911,C912,C913,C1159,C1204,C1272,C1273,C1274,C1275,C1276,C1277,C1278,C1279,C1280,C1281,C1282,C1285,C1286,C1287,C1288,C1289,C1290,C1291,C1320,C1321,C1322,C1323,C1324,C1325,C1326,C1327,C1328,C1329,C1330,C1333,C1334,C1335,C1336,C1337,C1338,C1339,C1340,C1370,C1371,C1372,C1373,C1374,C1375,C1376,C1377,C1378,C1379,C1380,C1383,C1384,C1385,C1386,C1387,C1388,C1389,C1423,C1424,C1425,C1426,C1427,C1428,C1429,C1430,C1431,C1432,C1433,C1436,C1437,C1438,C1439,C1440,C1441,C1442,C1483,C1484,C1485,C1486,C1487,C1488,C1489,C1490,C1491,C1492,C1493,C1495,C1496,C1497,C1498,C1499,C1500,C1527,C1528,C1529,C1530,C1531,C1532,C1533,C1534,C1535,C1536,C1537,C1538,C1539,C1540,C1543,C1544,C1545,C1546,C1547,C1548,C1549,C1550,C1551,C1552,C1553,C1581,C1582,C1583,C1584,C1585,C1586,C1587,C1588,C1589,C1590,C1591,C1592,C1593,C1594,C1597,C1598,C1599,C1600,C1601,C1602,C1603,C1604,C1605,C1606,C1607,C1669,C1670,C1671,C1672,C1673,C1674,C1675,C1676,C1677,C1678,C1679,C1680,C1681,C1682,C1683,C1686,C1687,C1688,C1689,C1690,C1691,C1692,C1693,C1694,C1695,C1696,C1762,C1763,C1764,C1765,C1766,C1767,C1768,C1769,C1770,C1771,C1772,C1773,C1774,C1775,C1776,C1779,C1780,C1781,C1782,C1783,C1784,C1785,C1786,C1787,C1788,C1789,C1856,C1857,C1858,C1859,C1860,C1861,C1862,C1863,C1864,C1865,C1866,C1867,C1868,C1869,C1870,C1873,C1874,C1875,C1876,C1877,C1878,C1879,C1880,C1881,C1882,C1902,C1903,C1904,C1905,C1906,C1907,C1908,C1909,C1910,C1913,C1914,C1915,C1916,C1917,C1918,C1919,C1920,C1921,C1922,C1923,C1924",315
DAVANGERE,2026-08-04,3.08,3.18,6.55,3.17,-2.84,-52.98,-3.14,-15.85,"C273,C274,C275,C276,C318,C319,C320,C321,C363,C364,C365,C366,C414,C415,C416,C417,C463,C464,C465,C466,C507,C508,C509,C510,C548,C549,C550,C551,C587,C588,C589,C590,C637,C638,C639,C688,C689,C690,C691,C730,C731,C732,C733,C767,C768,C769,C770,C814,C815,C816,C817,C860,C861,C862,C863,C909,C910,C911,C912,C956,C957,C958,C959,C960,C1004,C1005,C1006,C1007,C1049,C1050,C1051,C1052,C1103,C1104,C1105,C1106,C1151,C1152,C1153,C1154,C1159,C1272,C1273,C1274,C1275,C1276,C1277,C1278,C1279,C1285,C1286,C1287,C1288,C1289,C1320,C1321,C1322,C1323,C1324,C1325,C1326,C1327,C1333,C1334,C1335,C1336,C1337,C1338,C1370,C1371,C1372,C1373,C1374,C1375,C1376,C1377,C1383,C1384,C1385,C1386,C1387,C1423,C1424,C1425,C1426,C1427,C1428,C1429,C1430,C1436,C1437,C1438,C1439,C1440,C1483,C1484,C1485,C1486,C1487,C1488,C1489,C1490,C1495,C1496,C1497,C1498,C1527,C1528,C1529,C1530,C1531,C1532,C1533,C1534,C1535,C1536,C1543,C1544,C1545,C1546,C1547,C1548,C1549,C1550,C1581,C1582,C1583,C1584,C1585,C1586,C1587,C1588,C1589,C1590,C1597,C1598,C1599,C1600,C1601,C1602,C1603,C1604,C1669,C1670,C1671,C1672,C1673,C1674,C1675,C1676,C1677,C1678,C1686,C1687,C1688,C1689,C1690,C1691,C1692,C1693,C1762,C1763,C1764,C1765,C1766,C1767,C1768,C1769,C1770,C1771,C1779,C1780,C1781,C1782,C1783,C1784,C1785,C1786,C1856,C1857,C1858,C1859,C1860,C1861,C1862,C1863,C1864,C1865,C1873,C1874,C1875,C1876,C1877,C1878,C1879,C1902,C1903,C1904,C1905,C1906,C1907,C1913,C1914,C1915,C1916,C1917,C1918,C1919,C1920",249
INTENTECH,2026-08-04,81.64,83.07,149.9,82.5,-1.04,-45.54,-1.72,-22.23,"C1285,C1286,C1287,C1288,C1289,C1290,C1291,C1333,C1334,C1335,C1336,C1337,C1338,C1339,C1340,C1383,C1384,C1385,C1386,C1387,C1388,C1389,C1436,C1437,C1438,C1439,C1440,C1441,C1442,C1495,C1496,C1497,C1498,C1499,C1500,C1543,C1544,C1545,C1546,C1547,C1548,C1549,C1550,C1551,C1552,C1553,C1597,C1598,C1599,C1600,C1601,C1602,C1603,C1604,C1605,C1606,C1607,C1686,C1687,C1688,C1689,C1690,C1691,C1692,C1693,C1694,C1695,C1696,C1779,C1780,C1781,C1782,C1783,C1784,C1785,C1786,C1787,C1788,C1789,C1873,C1874,C1875,C1876,C1877,C1878,C1879,C1880,C1881,C1882,C1913,C1914,C1915,C1916,C1917,C1918,C1919,C1920,C1921,C1922,C1923,C1924",101
AGROPHOS,2026-08-04,28.1,29.18,47.6,28.63,-1.85,-40.97,-3.7,-8.8,"C1286,C1288,C1289,C1291,C1334,C1335,C1337,C1338,C1340,C1384,C1386,C1387,C1389,C1437,C1439,C1440,C1442,C1496,C1498,C1500,C1544,C1545,C1546,C1548,C1549,C1550,C1552,C1553,C1598,C1599,C1600,C1602,C1603,C1604,C1606,C1607,C1687,C1688,C1689,C1691,C1692,C1693,C1695,C1696,C1780,C1781,C1782,C1784,C1785,C1786,C1788,C1789,C1874,C1875,C1877,C1878,C1879,C1881,C1882,C1914,C1915,C1916,C1918,C1919,C1920,C1922,C1923,C1924,C1925",69
INCREDIBLE,2026-08-04,32.4,33.1,52.87,33.02,-1.88,-38.72,-2.11,-7.24,"C1289,C1335,C1338,C1387,C1440,C1545,C1546,C1549,C1550,C1553,C1599,C1600,C1603,C1604,C1607,C1688,C1689,C1692,C1693,C1696,C1781,C1782,C1785,C1786,C1789,C1875,C1878,C1879,C1882,C1915,C1916,C1919,C1920,C1923,C1924",35
MARSONS,2026-08-04,108.15,110.45,175.4,109.35,-1.1,-38.34,-2.08,-3.75,"C1289,C1335,C1338,C1387,C1440,C1545,C1546,C1549,C1550,C1553,C1599,C1600,C1603,C1604,C1607,C1688,C1689,C1692,C1693,C1696,C1781,C1782,C1785,C1786,C1789,C1875,C1878,C1879,C1882,C1915,C1916,C1919,C1920,C1923,C1924",35
