SYMBOL,SIGNAL_DATE,SIGNAL_CLOSE,PREV_CLOSE,ATH_PRICE,MIN_5D_LOW,PCT_FROM_LOW,PCT_FROM_ATH,PCT_1D_CHANGE,CONFIGS_MATCHED,CONFIG_COUNT
GMMPFAUDLR,2026-05-22,807.1,855.0,1418.0,850.55,-5.11,-43.08,-5.6,"C1,C2,C3,C4,C5,C6,C7,C8,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C48,C49,C50,C51,C52",49
CENTRALBK,2026-05-22,31.27,33.92,61.9,33.13,-5.61,-49.48,-7.81,"C1,C2,C3,C4,C5,C6,C7,C8,C10,C11,C12,C13,C14,C17,C18,C19,C22,C23,C24,C25,C26,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C48,C49,C50,C51,C52",44
NIITMTS,2026-05-22,210.6,224.8,520.0,223.15,-5.62,-59.5,-6.32,"C1,C2,C4,C5,C8,C10,C11,C17,C18,C22,C23,C24,C25,C26,C28,C29,C30,C31,C33,C34,C35,C36,C37,C38,C39,C40,C42,C43,C44,C45,C48,C49,C50",33
SUNTV,2026-05-22,486.7,518.75,782.9,512.2,-4.98,-37.83,-6.18,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C22,C23,C24,C25,C26,C27,C36,C45,C46,C47",19
REMSONSIND,2026-05-22,92.48,100.91,175.68,95.5,-3.16,-47.36,-8.35,"C1,C2,C3,C4,C5,C6,C7,C8",8
INDOCO,2026-05-22,199.08,204.29,355.0,203.23,-2.04,-43.92,-2.55,"C2,C3,C5,C6,C7",5
WEL,2026-05-22,94.72,97.8,200.0,97.52,-2.87,-52.64,-3.15,"C2,C3,C5,C6",4
