SYMBOL,SIGNAL_DATE,SIGNAL_CLOSE,PREV_CLOSE,ATH_PRICE,MIN_5D_LOW,PCT_FROM_LOW,PCT_FROM_ATH,PCT_1D_CHANGE,CHG_5D,CONFIGS_MATCHED,CONFIG_COUNT
MEESHO,2026-06-04,165.34,175.4,254.4,174.1,-5.03,-35.01,-5.74,-15.78,"C1,C2,C3,C5,C6,C7,C8,C9,C10,C11,C12,C14,C15,C16,C17,C18,C19,C20,C22,C23,C24,C25,C26,C27,C28,C30,C31,C32,C33,C34,C35,C36,C37,C38,C42,C46,C47,C48,C49,C50,C51,C52,C53,C55,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C76,C77,C78",65
GRADIENTE,2026-06-04,3.07,3.23,5.11,3.23,-4.95,-39.92,-4.95,-33.26,"C1,C2,C3,C5,C6,C7,C8,C9,C10,C11,C12,C14,C15,C16,C17,C18,C19,C20,C22,C23,C24,C25,C26,C27,C28,C30,C31,C32,C33,C34,C35,C36,C37,C38,C42,C46,C47,C55,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C78",57
TECHNOE,2026-06-04,1011.0,1047.1,1720.0,1042.4,-3.01,-41.22,-3.45,-26.37,"C4,C5,C6,C7,C8,C13,C14,C15,C16,C17,C21,C22,C23,C24,C25,C29,C30,C31,C32,C33,C36,C37,C40,C41,C44,C45,C48,C49,C50,C51,C52,C53,C62,C76,C77",35
RETAIL,2026-06-04,18.17,21.21,44.45,19.05,-4.62,-59.12,-14.33,-12.56,"C1,C4,C5,C9,C13,C14,C21,C22,C26,C29,C30,C34,C35,C36,C38,C39,C40,C42,C43,C44,C46,C48,C51,C54,C56,C75",26
DSSL,2026-06-04,1356.5,1427.8,1924.8,1427.8,-4.99,-29.53,-4.99,-28.42,"C38,C42,C46,C64,C65,C66,C68,C69,C70,C72,C73,C74",12
EVERESTIND,2026-06-04,365.85,377.2,816.0,374.05,-2.19,-55.17,-3.01,-12.12,"C39,C40,C43,C44",4
INDOTHAI,2026-06-04,216.24,226.87,376.8,222.57,-2.84,-42.61,-4.69,-9.49,"C40,C41,C44,C45",4
SCHAND,2026-06-04,148.53,153.07,257.9,152.28,-2.46,-42.41,-2.97,-13.74,"C40,C41,C44,C45",4
TRU,2026-06-04,5.5,5.71,13.24,5.65,-2.65,-58.46,-3.68,-9.54,"C39,C40,C43,C44",4
XTGLOBAL,2026-06-04,29.88,31.05,52.37,30.7,-2.67,-42.94,-3.77,-8.48,"C40,C41,C44,C45",4
