SYMBOL,SIGNAL_DATE,SIGNAL_CLOSE,PREV_CLOSE,ATH_PRICE,MIN_5D_LOW,PCT_FROM_LOW,PCT_FROM_ATH,PCT_1D_CHANGE,CHG_5D,CONFIGS_MATCHED,CONFIG_COUNT
SCODATUBES,2026-05-27,125.49,138.33,230.85,133.8,-6.21,-45.64,-9.28,-10.04,"C1,C2,C3,C4,C5,C6,C7,C8,C10,C11,C12,C13,C14,C17,C18,C19,C22,C23,C24,C25,C26,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C48,C49,C50,C51,C52",44
POLYMED,2026-05-27,1330.3,1439.8,2937.6,1428.0,-6.84,-54.71,-7.61,-8.85,"C1,C2,C3,C4,C5,C6,C8,C10,C11,C12,C13,C17,C18,C19,C22,C23,C24,C25,C26,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C48,C49,C50,C51,C52",42
TECHNOE,2026-05-27,1072.6,1201.2,1720.0,1160.0,-7.53,-37.64,-10.71,-10.82,"C1,C2,C3,C4,C5,C6,C7,C8,C11,C13,C16,C18,C21,C22,C23,C24,C25,C26,C30,C31,C32,C36,C39,C40,C41,C45,C46,C47",28
INNOVANA,2026-05-27,329.95,347.45,649.5,345.0,-4.36,-49.2,-5.04,-10.38,"C1,C2,C3,C4,C5,C6,C7,C8,C22,C23,C24,C25,C26,C33,C34,C35,C36,C42,C43,C44,C45",21
OSWALGREEN,2026-05-27,23.92,25.33,53.1,25.0,-4.32,-54.95,-5.57,-6.23,"C1,C2,C3,C4,C5,C6,C8,C22,C23,C24,C25,C26",12
EASEMYTRIP,2026-05-27,7.41,8.0,18.25,7.85,-5.61,-59.4,-7.37,-7.61,"C1,C2,C4,C5,C8,C22,C23,C24,C25,C26",10
ITC,2026-05-27,291.95,301.65,491.0,301.0,-3.01,-40.54,-3.22,-5.07,"C1,C2,C3,C4,C5,C6,C7,C8",8
BIGBLOC,2026-05-27,52.01,55.21,106.55,53.94,-3.58,-51.19,-5.8,-4.31,"C1,C2,C3,C4,C5,C6,C8",7
AKSHAR,2026-05-27,0.46,0.48,0.76,0.47,-2.13,-39.47,-4.17,-6.12,"C2,C3,C5,C6,C7",5
EIDPARRY,2026-05-27,743.4,764.55,1246.8,759.1,-2.07,-40.38,-2.77,-6.85,"C2,C3,C5,C6,C7",5
FOCUS,2026-05-27,79.6,82.61,136.0,81.61,-2.46,-41.47,-3.64,-7.11,"C2,C3,C5,C6,C7",5
RVNL,2026-05-27,252.3,259.75,481.5,259.0,-2.59,-47.6,-2.87,-6.42,"C2,C3,C5,C6,C7",5
SHIVATEX,2026-05-27,159.98,166.19,273.59,164.18,-2.56,-41.53,-3.74,-7.53,"C2,C3,C5,C6,C7",5
TIPSFILMS,2026-05-27,356.3,368.6,666.0,365.4,-2.49,-46.5,-3.34,-5.88,"C2,C3,C5,C6,C7",5
VLSFINANCE,2026-05-27,224.65,238.84,357.2,229.96,-2.31,-37.11,-5.94,-2.47,"C2,C3,C5,C6,C7",5
AARTIPHARM,2026-05-27,655.25,694.6,971.0,691.25,-5.21,-32.52,-5.67,-6.49,"C1,C4,C8,C26",4
MACPOWER,2026-05-27,1055.7,1128.8,1532.5,1101.1,-4.12,-31.11,-6.48,-9.04,"C1,C4,C8,C26",4
PATELRMART,2026-05-27,184.81,192.18,269.3,192.0,-3.74,-31.37,-3.83,-6.77,"C1,C4,C8",3
GTPL,2026-05-27,64.55,66.53,157.99,66.5,-2.93,-59.14,-2.98,-4.85,"C2,C5",2
