SYMBOL,SIGNAL_DATE,SIGNAL_CLOSE,PREV_CLOSE,ATH_PRICE,MIN_5D_LOW,PCT_FROM_LOW,PCT_FROM_ATH,PCT_1D_CHANGE,CONFIGS_MATCHED,CONFIG_COUNT
LEMERITE,2026-05-26,222.45,247.15,537.85,247.15,-9.99,-58.64,-9.99,"C1,C2,C10,C11,C24,C28,C29,C30,C31,C33,C34,C35,C36,C48,C49,C50",16
OSWALSEEDS,2026-05-26,11.03,12.0,20.28,11.86,-7.0,-45.61,-8.08,"C1,C2,C3,C4,C5,C6,C7,C8,C22,C23,C24,C25,C26",13
CONCOR,2026-05-26,475.9,512.05,866.0,493.0,-3.47,-45.05,-7.06,"C1,C2,C3,C4,C5,C6,C7,C8",8
CARTRADE,2026-05-26,1700.4,1789.0,3290.5,1750.0,-2.83,-48.32,-4.95,"C2,C3,C5,C6,C7",5
NILASPACES,2026-05-26,12.51,12.94,20.47,12.81,-2.34,-38.89,-3.32,"C2,C3,C5,C6,C7",5
COMFINTE,2026-05-26,6.13,6.48,9.19,6.4,-4.22,-33.3,-5.4,"C1,C4,C8,C26",4
FINKURVE,2026-05-26,63.16,65.88,134.9,64.65,-2.3,-53.18,-4.13,"C2,C3,C5,C6",4
VINNY,2026-05-26,1.06,1.1,1.53,1.1,-3.64,-30.72,-3.64,"C1,C4,C8",3
