SYMBOL,SIGNAL_DATE,SIGNAL_CLOSE,PREV_CLOSE,ATH_PRICE,MIN_5D_LOW,PCT_FROM_LOW,PCT_FROM_ATH,PCT_1D_CHANGE,CONFIGS_MATCHED,CONFIG_COUNT
LEMERITE,2026-05-21,341.2,416.95,537.85,358.75,-4.89,-36.56,-18.17,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C22,C23,C24,C25,C26",14
PIIND,2026-05-21,2740.5,2901.2,4330.0,2860.1,-4.18,-36.71,-5.54,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C22,C23,C24,C25,C26",14
SOMICONVEY,2026-05-21,100.41,110.87,227.9,107.55,-6.64,-55.94,-9.43,"C1,C2,C4,C5,C8,C10,C11,C17,C18,C22,C23,C24,C25,C26",14
GOKULAGRO,2026-05-21,222.77,232.61,425.0,228.2,-2.38,-47.58,-4.23,"C2,C3,C5,C6,C7",5
JKLAKSHMI,2026-05-21,619.8,636.05,1021.2,632.6,-2.02,-39.31,-2.55,"C2,C3,C5,C6,C7",5
JUBLFOOD,2026-05-21,435.65,472.55,796.75,445.35,-2.18,-45.32,-7.81,"C2,C3,C5,C6,C7",5
NIITMTS,2026-05-21,224.8,231.5,520.0,230.0,-2.26,-56.77,-2.89,"C2,C5",2
