SYMBOL,SIGNAL_DATE,SIGNAL_CLOSE,PREV_CLOSE,ATH_PRICE,MIN_5D_LOW,PCT_FROM_LOW,PCT_FROM_ATH,PCT_1D_CHANGE,CHG_5D,CONFIGS_MATCHED,CONFIG_COUNT
BDL,2026-05-29,1204.6,1282.2,2096.6,1275.2,-5.54,-42.55,-6.05,-7.61,"C1,C2,C3,C4,C5,C6,C7,C8,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C48,C49,C50,C51,C52",49
MASTERTR,2026-05-29,81.09,86.25,176.69,85.52,-5.18,-54.11,-5.98,-13.42,"C1,C2,C3,C4,C5,C6,C8,C10,C11,C12,C13,C17,C18,C19,C22,C23,C24,C25,C26,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C48,C49,C50,C51,C52",42
BAJAJINDEF,2026-05-29,252.6,271.95,580.25,270.0,-6.44,-56.47,-7.12,-8.49,"C1,C2,C4,C5,C8,C10,C11,C17,C18,C22,C23,C24,C25,C26,C28,C29,C30,C31,C33,C34,C35,C36,C37,C38,C39,C40,C42,C43,C44,C45,C48,C49,C50",33
JYOTICNC,2026-05-29,596.0,656.95,1407.95,648.1,-8.04,-57.67,-9.28,-10.91,"C1,C2,C4,C5,C10,C11,C17,C18,C22,C24,C25,C28,C29,C30,C31,C33,C34,C35,C36,C37,C38,C39,C40,C42,C43,C44,C45,C48,C49,C50",30
EPACKPEB,2026-05-29,178.04,187.04,344.0,186.5,-4.54,-48.24,-4.81,-5.84,"C1,C2,C3,C4,C5,C6,C7,C8,C22,C23,C24,C25,C26,C33,C34,C35,C36,C42,C43,C44,C45",21
ISGEC,2026-05-29,929.8,1032.3,1532.0,1026.0,-9.38,-39.31,-9.93,-13.39,"C1,C2,C3,C11,C13,C16,C18,C21,C24,C30,C31,C32,C36,C39,C40,C41,C45,C46,C47",19
MACPOWER,2026-05-29,969.8,1055.7,1532.5,1019.1,-4.84,-36.72,-8.14,-16.35,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C22,C23,C24,C25,C26,C27,C36,C45,C46,C47",19
CONCORDBIO,2026-05-29,1051.2,1099.6,2451.7,1096.2,-4.11,-57.12,-4.4,-6.42,"C1,C2,C4,C5,C8,C22,C23,C24,C25,C26,C33,C34,C35,C36,C42,C43,C44,C45",18
HERANBA,2026-05-29,177.9,195.18,437.2,187.85,-5.3,-59.31,-8.85,-6.26,"C1,C2,C4,C5,C8,C22,C23,C24,C25,C26,C33,C34,C35,C36,C42,C43,C44,C45",18
SCHAND,2026-05-29,161.72,171.29,257.9,169.01,-4.31,-37.29,-5.59,-8.58,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C22,C23,C24,C25,C26,C27",15
ANUP,2026-05-29,1840.4,1947.0,3633.05,1931.8,-4.73,-49.34,-5.48,-6.98,"C1,C2,C3,C4,C5,C6,C7,C8,C22,C23,C24,C25,C26",13
KMEW,2026-05-29,1918.3,2050.2,3758.5,2018.1,-4.95,-48.96,-6.43,-11.25,"C1,C2,C3,C4,C5,C6,C7,C8,C22,C23,C24,C25,C26",13
GTECJAINX,2026-05-29,16.69,17.75,37.0,17.6,-5.17,-54.89,-5.97,-13.79,"C1,C2,C3,C4,C5,C6,C8,C22,C23,C24,C25,C26",12
IGCL,2026-05-29,58.2,62.74,122.0,60.9,-4.43,-52.3,-7.24,-6.27,"C1,C2,C3,C4,C5,C6,C8,C22,C23,C24,C25,C26",12
KCPSUGIND,2026-05-29,22.92,24.62,48.49,23.91,-4.14,-52.73,-6.9,-5.83,"C1,C2,C3,C4,C5,C6,C8,C22,C23,C24,C25,C26",12
HIKAL,2026-05-29,195.28,221.32,456.75,203.65,-4.11,-57.25,-11.77,-4.97,"C1,C2,C4,C5,C8,C22,C23,C24,C25,C26",10
PRAJIND,2026-05-29,352.3,383.8,875.0,380.55,-7.42,-59.74,-8.21,-9.77,"C1,C2,C4,C5,C8,C22,C23,C24,C25,C26",10
EPIGRAL,2026-05-29,1160.9,1211.9,2114.0,1208.4,-3.93,-45.09,-4.21,-8.6,"C1,C2,C3,C4,C5,C6,C7,C8",8
MARATHON,2026-05-29,461.75,490.95,769.45,477.5,-3.3,-39.99,-5.95,-5.31,"C1,C2,C3,C4,C5,C6,C7,C8",8
SOLEX,2026-05-29,1218.5,1271.1,1985.0,1260.1,-3.3,-38.61,-4.14,-6.96,"C1,C2,C3,C4,C5,C6,C7,C8",8
SUKHJITS,2026-05-29,180.1,198.98,278.4,186.0,-3.17,-35.31,-9.49,-6.94,"C1,C2,C3,C4,C5,C6,C7,C8",8
SYNGENE,2026-05-29,442.0,460.4,895.75,458.45,-3.59,-50.66,-4.0,-6.0,"C1,C2,C3,C4,C5,C6,C8",7
AEGISVOPAK,2026-05-29,196.16,205.76,302.0,201.12,-2.47,-35.05,-4.67,-4.34,"C2,C3,C5,C6,C7",5
CANTABIL,2026-05-29,211.25,218.54,334.0,216.0,-2.2,-36.75,-3.34,-2.54,"C2,C3,C5,C6,C7",5
COCHINSHIP,2026-05-29,1467.4,1523.9,2545.0,1510.0,-2.82,-42.34,-3.71,-4.15,"C2,C3,C5,C6,C7",5
COROMANDEL,2026-05-29,1753.6,1831.7,2718.9,1803.8,-2.78,-35.5,-4.26,-6.86,"C2,C3,C5,C6,C7",5
GLAXO,2026-05-29,2210.2,2296.2,3515.7,2278.1,-2.98,-37.13,-3.75,-4.76,"C2,C3,C5,C6,C7",5
GMMPFAUDLR,2026-05-29,766.7,787.15,1418.0,782.6,-2.03,-45.93,-2.6,-10.33,"C2,C3,C5,C6,C7",5
HARRMALAYA,2026-05-29,200.69,207.29,337.9,205.0,-2.1,-40.61,-3.18,-8.17,"C2,C3,C5,C6,C7",5
IONEXCHANG,2026-05-29,362.05,380.1,674.8,371.8,-2.62,-46.35,-4.75,-6.95,"C2,C3,C5,C6,C7",5
IRCTC,2026-05-29,509.85,523.2,828.8,521.6,-2.25,-38.48,-2.55,-3.28,"C2,C3,C5,C6,C7",5
JINDRILL,2026-05-29,593.15,613.85,990.35,610.85,-2.9,-40.11,-3.37,-8.07,"C2,C3,C5,C6,C7",5
KSCL,2026-05-29,866.6,899.7,1602.0,887.1,-2.31,-45.91,-3.68,-5.42,"C2,C3,C5,C6,C7",5
PNCINFRA,2026-05-29,204.8,211.72,338.8,209.6,-2.29,-39.55,-3.27,-3.92,"C2,C3,C5,C6,C7",5
RALLIS,2026-05-29,243.1,250.6,385.9,248.75,-2.27,-37.0,-2.99,-2.92,"C2,C3,C5,C6,C7",5
RVNL,2026-05-29,245.45,252.3,481.5,251.3,-2.33,-49.02,-2.72,-9.34,"C2,C3,C5,C6,C7",5
TEXRAIL,2026-05-29,104.37,108.93,205.5,107.56,-2.97,-49.21,-4.19,-3.34,"C2,C3,C5,C6,C7",5
THEJO,2026-05-29,1564.7,1615.5,2485.8,1605.0,-2.51,-37.05,-3.14,-4.6,"C2,C3,C5,C6,C7",5
WAKEFIT,2026-05-29,123.15,127.95,224.0,126.08,-2.32,-45.02,-3.75,-14.46,"C2,C3,C5,C6,C7",5
WESTLIFE,2026-05-29,449.9,469.3,893.35,463.55,-2.94,-49.64,-4.13,-3.89,"C2,C3,C5,C6,C7",5
BATAINDIA,2026-05-29,668.95,692.6,1479.0,686.55,-2.56,-54.77,-3.41,-2.88,"C2,C3,C5,C6",4
CELLO,2026-05-29,368.25,393.8,782.0,378.0,-2.58,-52.91,-6.49,-5.04,"C2,C3,C5,C6",4
EIHOTEL,2026-05-29,296.2,313.2,435.1,312.15,-5.11,-31.92,-5.43,-7.29,"C1,C4,C8,C26",4
RUCHIRA,2026-05-29,116.87,125.26,173.0,123.34,-5.25,-32.45,-6.7,-6.97,"C1,C4,C8,C26",4
DCMSHRIRAM,2026-05-29,1036.7,1079.3,1502.3,1073.0,-3.38,-30.99,-3.95,-6.5,"C1,C4,C8",3
CHEMPLASTS,2026-05-29,216.41,222.23,518.6,221.42,-2.26,-58.27,-2.62,-4.66,"C2,C5",2
