SYMBOL,SIGNAL_DATE,SIGNAL_CLOSE,PREV_CLOSE,ATH_PRICE,MIN_5D_LOW,PCT_FROM_LOW,PCT_FROM_ATH,PCT_1D_CHANGE,CHG_5D,CONFIGS_MATCHED,CONFIG_COUNT
SATIA,2026-05-25,58.88,64.54,108.9,62.01,-5.05,-45.93,-8.77,-6.69,"C1,C2,C3,C4,C5,C6,C7,C8,C10,C11,C12,C13,C14,C17,C18,C19,C22,C23,C24,C25,C26,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C48,C49,C50,C51,C52",44
LEMERITE,2026-05-25,247.15,274.6,537.85,273.0,-9.47,-54.05,-10.0,-46.42,"C1,C2,C3,C10,C11,C12,C13,C24,C28,C29,C30,C31,C32,C33,C34,C35,C36,C48,C49,C50,C51,C52",22
ZOTA,2026-05-25,1122.1,1192.6,1740.0,1167.2,-3.86,-35.51,-5.91,-6.48,"C1,C2,C3,C4,C5,C6,C7,C8",8
ANTGRAPHIC,2026-05-25,0.81,0.84,1.62,0.83,-2.41,-50.0,-3.57,-4.71,"C2,C3,C5,C6,C7",5
RVHL,2026-05-25,37.25,39.25,81.9,38.3,-2.74,-54.52,-5.1,-8.66,"C2,C3,C5,C6",4
MIDWESTLTD,2026-05-25,1256.8,1316.8,1859.9,1302.5,-3.51,-32.43,-4.56,-6.01,"C1,C4,C8",3
